skin_type,severity,morning,evening,avoid
dry,clear,Rinse with lukewarm water and apply a gentle fragrance-free moisturizer.,Use a mild hydrating cleanser and a richer moisturizer before bed.,Hot showers on your face and foaming cleansers that leave skin feeling tight.
dry,mild,Gentle hydrating cleanser then a light moisturizer with ceramides.,Cleanse and spot-treat blemishes with a low strength benzoyl peroxide (2.5 percent) then moisturize.,Scrubbing and over-washing. Dry skin with acne still needs moisture.
dry,moderate,Hydrating cleanser and an oil-free moisturizer with SPF if you are heading out.,Cleanse then apply adapalene 0.1 percent gel (a pea sized amount for the whole face) and moisturize after.,Layering several acne products at once. Start with one and give it 6 to 8 weeks.
dry,severe,Keep the routine simple: gentle cleanser and moisturizer only.,Same as morning. Do not stack strong products on irritated skin.,Picking or squeezing. It spreads inflammation and causes scarring.
normal,clear,Rinse or use a gentle cleanser and a light moisturizer.,Gentle cleanser then moisturizer. That is genuinely enough.,Buying products for problems you do not have. Simple routines win.
normal,mild,Gentle cleanser then light moisturizer.,Cleanse and spot-treat with benzoyl peroxide 2.5 percent or salicylic acid 2 percent then moisturize.,Touching your face through the day and sleeping in sweat after sports.
normal,moderate,Gentle cleanser and an oil-free moisturizer.,Cleanse then a thin layer of adapalene 0.1 percent gel across acne-prone areas and moisturize after.,Adding new products every week. Give each change 6 to 8 weeks to show results.
normal,severe,Gentle cleanser and moisturizer only. Keep irritation low.,Same as morning until you can talk to a professional.,Harsh scrubs and DIY remedies like toothpaste or lemon juice. They make it worse.
oily,clear,Gentle foaming cleanser then an oil-free (non-comedogenic) moisturizer.,Cleanse to remove the day's oil then apply a light oil-free moisturizer.,Skipping moisturizer. Stripped skin often makes more oil to compensate.
oily,mild,Foaming cleanser with salicylic acid then an oil-free moisturizer.,Cleanse and spot-treat with benzoyl peroxide 2.5 percent then moisturize.,Blotting and washing more than twice a day. Extra washing does not mean less oil.
oily,moderate,Salicylic acid cleanser and an oil-free gel moisturizer.,Cleanse then apply adapalene 0.1 percent gel across acne-prone areas and moisturize after.,Heavy comedogenic products and hair oils that touch your forehead.
oily,severe,Gentle cleanser and oil-free moisturizer. Do not attack your skin.,Same as morning. Strong home treatment is not the answer at this level.,Aggressive treatment stacking. Severe acne needs professional care not more products.
